,Unnamed: 0,first,second,cats,weight
0,868,Diseases,Diseases,,0.001
1,170,Diseases.adrenal cortex hormones,adrenal cortex hormones,[32728654],1.0
2,1181,"Diseases.amino acids, peptides, and proteins","amino acids, peptides, and proteins",,0.001
3,1182,"Diseases.amino acids, peptides, and proteins.proteins",proteins,,0.001
4,1183,"Diseases.amino acids, peptides, and proteins.proteins.globulins",globulins,,0.001
5,1184,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins",serum globulins,,0.001
6,1185,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins.immunoglobulins",immunoglobulins,,0.001
7,1186,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins.immunoglobulins.antibodies",antibodies,,0.001
8,736,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins.immunoglobulins.antibodies.immunoglobulins, intravenous","immunoglobulins, intravenous",[33956250],1.0
9,1217,"Diseases.amino acids, peptides, and proteins.proteins.nerve tissue proteins",nerve tissue proteins,,0.001
10,1218,"Diseases.amino acids, peptides, and proteins.proteins.nerve tissue proteins.neuropeptides",neuropeptides,,0.001
11,806,"Diseases.amino acids, peptides, and proteins.proteins.nerve tissue proteins.neuropeptides.vasopressins",vasopressins,[34260489],1.0
12,903,Diseases.animal diseases,animal diseases,,0.001
13,1242,Diseases.animal diseases.swine diseases,swine diseases,,0.001
14,861,Diseases.animal diseases.swine diseases.vesicular exanthema of swine,vesicular exanthema of swine,[34377609],1.0
15,53,Diseases.animal diseases.zoonoses,zoonoses,"[32469504, 32584199, 32718292, 34960661, 35233558]",5.0
16,1087,Diseases.bacteria,bacteria,,0.001
17,1197,Diseases.bacteria.gram-positive bacteria,gram-positive bacteria,,0.001
18,1198,Diseases.bacteria.gram-positive bacteria.gram-positive rods,gram-positive rods,,0.001
19,1199,Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods,gram-positive asporogenous rods,,0.001
20,1200,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular","gram-positive asporogenous rods, regular",,0.001
21,1201,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular.mycobacteriaceae",mycobacteriaceae,,0.001
22,1202,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular.mycobacteriaceae.mycobacterium",mycobacterium,,0.001
23,769,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular.mycobacteriaceae.mycobacterium.mycobacterium bovis",mycobacterium bovis,[33249696],1.0
24,1088,Diseases.bacteria.proteobacteria,proteobacteria,,0.001
25,1089,Diseases.bacteria.proteobacteria.betaproteobacteria,betaproteobacteria,,0.001
26,1090,Diseases.bacteria.proteobacteria.betaproteobacteria.burkholderiales,burkholderiales,,0.001
27,547,Diseases.bacteria.proteobacteria.betaproteobacteria.burkholderiales.burkholderiaceae,burkholderiaceae,[34792882],1.0
28,869,Diseases.behavior and behavior mechanisms,behavior and behavior mechanisms,,0.001
29,944,Diseases.behavior and behavior mechanisms.behavior,behavior,,0.001
30,174,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms,behavioral symptoms,[32728799],1.0
31,680,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms.affective symptoms,affective symptoms,[34968807],1.0
32,684,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms.delusions,delusions,[35351846],1.0
33,599,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms.mental fatigue,mental fatigue,"[33729425, 33774378, 34037351, 34508486, 34857243, 34949230]",6.0
34,682,Diseases.behavior and behavior mechanisms.behavior.impulsive behavior,impulsive behavior,[34982518],1.0
35,1041,Diseases.behavior and behavior mechanisms.behavior.impulsive behavior.compulsive behavior,compulsive behavior,,0.001
36,412,"Diseases.behavior and behavior mechanisms.behavior.impulsive behavior.compulsive behavior.behavior, addictive","behavior, addictive","[33485845, 33779773, 34805497]",3.0
37,1127,Diseases.behavior and behavior mechanisms.behavior.social behavior,social behavior,,0.001
38,619,Diseases.behavior and behavior mechanisms.behavior.social behavior.aggression,aggression,[35175707],1.0
39,870,Diseases.behavior and behavior mechanisms.emotions,emotions,,0.001
40,982,Diseases.behavior and behavior mechanisms.emotions.affect,affect,,0.001
41,258,Diseases.behavior and behavior mechanisms.emotions.affect.irritable mood,irritable mood,"[32898993, 33200104, 33762311, 33863529, 34425479, 34488566, 34982518, 35175707]",8.0
42,9,Diseases.behavior and behavior mechanisms.emotions.anxiety,anxiety,"[35164920, 35417314, 32294814, 32449782, 32495323, 32672029, 32707218, 32738287, 32753338, 32763640, 32796792, 32853602, 32880269, 32912329, 32973919, 33013930, 33053508, 33111132, 33120193, 33147504, 33262966, 33271682, 33275271, 33302142, 33393420, 33407804, 33425958, 33436263, 33437291, 33480608, 33487098, 33532720, 33548496, 33550782, 33558860, 33569660, 33575312, 33581399, 33585298, 33593267, 33603379, 33618441, 33635172, 33648821, 33708732, 33729425, 33743819, 33745373, 33827499, 33861695, 33863864, 33865161, 33868043, 33921429, 33949635, 33952318, 33959278, 33983005, 33998551, 34000678, 34010740, 34042167, 34051516, 34055711, 34060280, 34082792, 34091347, 34103378, 34111831, 34119855, 34133481, 34170653, 34218857, 34258900, 34286502, 34300183, 34316551, 34327929, 34341978, 34343929, 34345869, 34347785, 34349633, 34356243, 34362142, 34381391, 34400219, 34416191, 34422503, 34425843, 34444539, 34454673, 34455354, 34463904, 34469360, 34488921, 34509649, 34523701, 34533807, 34544975, 34561107, 34563747, 34580087, 34588274, 34591722, 34600862, 34601853, 34664483, 34704429, 34708687, 34709105, 34718282, 34719599, 34744416, 34751305, 34751538, 34793374, 34793996, 34815594, 34816972, 34819216, 34827455, 34845469, 34856780, 34874821, 34894521, 34913880, 34928916, 34928919, 34933829, 34936536, 34945213, 34948798, 34955903, 34963882, 34968807, 34973891, 34982518, 34992752, 34998005, 35000793, 35058382, 35060448, 35072716, 35098861, 35129097, 35130818, 35132020, 35144718, 35165874, 35175707, 35283463, 35314503, 35332104, 35342470, 35346011, 35351846, 35363975, 35394732, 35397762, 35403066, 35404239, 35407562, 35409924, 35417314, 35418390, 35428488, 35486940, 35522828, 35533314, 35534994, 35544272, 35545484, 35545971, 35575989, 35606551, 35624973]",177.0
43,328,Diseases.behavior and behavior mechanisms.emotions.apathy,apathy,"[33081456, 35175707]",2.0
