,Occupation,"Total
employed",Women,White,"Black or
African
American",Asian,"Hispanic
or Latino","Total
employed1",Other,NH,Hispanic_raw,Asian_raw,White_raw,Other_raw,NH_raw,Black_raw
0,Chief executives,"1,664",29.1,85.7,5.9,6.8,7.4,100,1.5999999999999943,92.6,123136.0,113151.99999999999,1426048.0000000002,26623.999999999905,1540864.0,98176.0
1,General and operations managers,"1,085",36.4,82.7,9.3,4.6,10.3,100,3.4000000000000057,89.7,111755.0,49910.0,897295.0,36890.000000000065,973245.0,100905.0
2,Advertising and promotions managers,72,42.4,78.7,12.1,5.2,6.2,100,4.0,93.8,4464.000000000001,3744.0000000000005,56664.00000000001,2880.0,67535.99999999999,8711.999999999998
3,Marketing managers,576,61.4,83.5,6.2,7.3,8.3,100,3.0,91.7,47808.0,42048.0,480960.0,17280.0,528192.0000000001,35712.00000000001
4,Sales managers,537,30.6,86.4,5.9,5.0,10.6,100,2.6999999999999886,89.4,56922.0,26850.0,463968.0,14498.99999999994,480078.0,31683.0
5,Public relations and fundraising managers,100,68.0,89.3,3.5,4.4,7.2,100,2.799999999999997,92.8,7200.0,4400.000000000001,89300.0,2799.9999999999973,92800.0,3500.0
6,Administrative services managers,60,79.0,84.0,13.3,1.5,9.9,100,1.2000000000000028,90.1,5940.0,900.0,50400.0,720.0000000000017,54060.0,7980.0
7,Facilities managers,146,21.3,90.5,7.4,0.2,14.5,100,1.8999999999999915,85.5,21170.0,292.00000000000006,132130.0,2773.9999999999873,124830.0,10804.0
8,Computer and information systems managers,715,26.7,72.4,7.2,17.8,7.3,100,2.5999999999999943,92.7,52195.0,127270.0,517660.00000000006,18589.999999999956,662805.0,51480.0
9,Financial managers,"1,307",54.6,78.5,9.0,9.0,10.4,100,3.5,89.6,135928.00000000003,117630.0,1025995.0,45745.0,1171072.0,117630.0
10,Human resources managers,273,80.8,78.9,12.3,6.4,12.5,100,2.3999999999999915,87.5,34125.0,17472.0,215397.0,6551.999999999976,238875.0,33579.0
